Reasons to Correct Entry,Unique Identifier,ID,Type,Inventory_By,Location_ID,Location,Department_ID,Department,DEPT_New,EPIC_BLDG,EPIC_DEPT,Flr Pln L,Flr Pln N,Flr Pln D,EPIC_LOC,EPIC_Room,Hostname,Serial,Tag,Domain,WS_Type,WS_Strategy,WS_Function,WS_BCA,WS_Com,WS_Mon_Make_1,WS_Mon_Mod_1,Mon 1,WS_Mon_Make_2,WS_Mon_Mod_2,Mon 2,WS_Mon_Make_3,WS_Mon_Mod_3,Mon 3,WS_Mon_Make_4,WS_Mon_Mod_4,Mon 4,WS_Mon_Com,WS_Prnt_Paper,WS_Prnt_baby_WB,WS_Prnt_WB,WS_Prnt_Pharm,WS_Prnt_Patient,WS_Prnt_Spec,WS_Prnt_Script,WS_Prnt_Local,WS_Prnt_Com,Scanner,Webcam,Bioscript,Badge Rdr,CreditCard Rdr,eSignature Pad,Barcode Rdr,WS_Peri_Com,PRNT_Type,PRNT_Queue_Name,PRNT_EPIC_Name,Network Pntr IP,PRNT_Make,PRNT_Model,PRNT_Tray_1,PRNT_Tray_2,PRNT_Tray_3,PRNT_Tray_4,PRNT_Tray_Lock,PRNT_Label_Size,PRNT_Com,BRD_Make,BRD_Model,BRD_OS,BRD_Attached,BRD_Com,BRD_Mon_Mod_1,BRD_Mon_Res_1,BRD_Mon_Orient_1,BRD_Mon_Size_1,BRD_Mon_Mod_2,BRD_Mon_Res_2,BRD_Mon_Orient_2,BRD_Mon_Size_2,BRD_Mon_Com,Duplicate_of_ID,Flr Pln D String,Flagging Reason
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan",176,599986,Workstation,pa_mgrass,446238,Peconic Bay Medical Center,298430,NRSG - 2 East,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_2_sec_2.3.pdf?csf=1&web=1&e=nUQiJP,PBMC_fl_2_sec_2.3,T9,EXAM ROOM,3244,VDI-ICU-I-44-14c9132d3307,NP68Q10F6W,,PBMC.ORG,Desktop,Personal,Exam/Treatment Room,1,,LG,23CAV42K,23,,,0,,,0,,,0,,,,,,,,,,,,,,IMPRAVATA/HDW-IMP-60,,,HONEYWELL/1920,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,599983.0,T9,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan",177,600119,Workstation,jrodriguez73,446238,Peconic Bay Medical Center,298430,NRSG - 2 East,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_2_sec_2.3.pdf?csf=1&web=1&e=nUQiJP,PBMC_fl_2_sec_2.3,T9,PATIENT ROOM,2218,VDI-2EA-I-18-785dc882037e,NP87E1009V,,PBMC.ORG,Desktop,Personal,Patient Room,0,,LG,UNKNOWN,24,,,0,,,0,,,0,,,,,,,,,,,,,,,,,HONEYWELL 1902,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,599983.0,T9,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",178,600148,Workstation,pa_mgrass,446238,Peconic Bay Medical Center,298407,CT - Speech Therapy,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_1_sec_1.6.pdf?csf=1&web=1&e=9eAuMS,PBMC_fl_1_sec_1.6,NOT FOUND,SPEECH THERAPY OFFICE LEFT MACHINE,SPEECH THERAPY,WRI130SPT002,MJ0HB2QP,D097430,PBMC.ORG,Desktop,Personal,Office,0,,LENOVO,E2054A,20,,,0,,,0,,,0,,10.55.5.243 - PCL6 V5S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,600107.0,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",179,600150,Printer,pa_mgrass,446238,Peconic Bay Medical Center,298407,CT - Speech Therapy,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_1_sec_1.6.pdf?csf=1&web=1&e=9eAuMS,PBMC_fl_1_sec_1.6,NOT FOUND,PRINTER IN SPEECH THERAPY OFFICE,SPEECH THERAPY OFFICE,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Plain Paper Printouts,PCL6 V5S,,10.55.11.184,HP,PCL6 V5S,,PLAIN PAPER,,,1.0,,,,,,,,,,,0,,,,0,,600107.0,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",180,600151,Workstation,thinds2,446238,Peconic Bay Medical Center,298407,CT - Speech Therapy,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_1_sec_1.6.pdf?csf=1&web=1&e=9eAuMS,PBMC_fl_1_sec_1.6,NOT FOUND,SPEECH THERAPY OFFICE RIGHT MACHINE,SPEECH THERAPY,WW10RI130SPT001,MJ0EBAJ6,D083895,PBMC.ORG,Desktop,Personal,Office,0,,DELL,P2212H,22,,,0,,,0,,,0,,10.55.11.184 - PCL 6,,,,,,,,,,UVC CAMERA,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,600107.0,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",181,600829,Printer,pa_mgrass,446238,Peconic Bay Medical Center,567481,ER,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_1_sec_1.3.pdf?csf=1&web=1&e=hI0Wi2,PBMC_fl_1_sec_1.3,NOT FOUND,NORTH MA STATION DESK,NURSE STATION,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Patient Labels,PBMC-EDTR,,10.55.4.58,ZEBRA,ZD421,,PLAIN PAPER,,,1.0,,,,,,,,,,,0,,,,0,,600829.0,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",182,600845,Workstation,pa_mgrass,446238,Peconic Bay Medical Center,567481,ER,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_1_sec_1.3.pdf?csf=1&web=1&e=hI0Wi2,PBMC_fl_1_sec_1.3,NOT FOUND,WOW IN ER,NURSE STATION,LRI130EMD011,PF0YZV8Z,L030192,PBMC.ORG,Laptop,Shared,WOW,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,HONEYWELL/1920,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,600829.0,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",183,600892,Workstation,jrodriguez73,446238,Peconic Bay Medical Center,567481,ER,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_1_sec_1.3.pdf?csf=1&web=1&e=hI0Wi2,PBMC_fl_1_sec_1.3,NOT FOUND,RECEPTION ER,RECEPTION NO MATCH FOUND ON VISION,LW10RI130REG005,PF0TTFPG,L027870,CDE,Laptop,Personal,WOW,0,NO MATCH FOUND ON VISION,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,600829.0,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Missing New Floor Plan, Missing Old Floor Plan, Duplicate based on Designator and Department",184,664593,Printer,rborrelli,446238,Peconic Bay Medical Center,563387,Laboratory,,,,,,S10,DESK LEFT OF ENTRANCE,LAB,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Specimen Labels,,,10.55.7.89,DYMO,LABELWRITER 550TURBO,SPECIMEN LABELS,,,,,,PBMCh - 1,,,,,,,,,0,,,,0,,664593.0,S10,"Missing New Floor Plan, Missing Old Floor Plan, Duplicate based on Designator and Department"
"Missing New Floor Plan, Missing Old Floor Plan, Duplicate based on Designator and Department",185,664719,Printer,rborrelli,446238,Peconic Bay Medical Center,563387,Laboratory,,,,,,S11,DESK LEFT OF ENTRANCE,LAB,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Specimen Labels,D7N224652910,,010.055.011.165,ZEBRA,HEMATRAX ISBT 128 COMPLIANT,SPECIMEN LABELS,,,,,,PBMCh - 1,,,,,,,,,0,,,,0,,664719.0,S11,"Missing New Floor Plan, Missing Old Floor Plan, Duplicate based on Designator and Department"
"Missing New Floor Plan, Missing Old Floor Plan, Duplicate based on Designator and Department",186,664928,Printer,rborrelli,446238,Peconic Bay Medical Center,563387,Laboratory,,,,,,S12,CUBICLE PRIOR TO ENTRANCE,LAB,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Patient Labels,PBMC-C04,,10.55.11.15,ZEBRA,ZT411,PATIENT LABEL,,,,1.0,,PBMCh - 1,,,,,,,,,0,,,,0,,664928.0,S12,"Missing New Floor Plan, Missing Old Floor Plan, Duplicate based on Designator and Department"
"Missing New Floor Plan, Missing Old Floor Plan, Duplicate based on Designator and Department",187,666494,Workstation,rborrelli,446238,Peconic Bay Medical Center,298439,NRSG - Surgical Pavilion,,,,,,W146,ACROSS FROM ELECTRICAL,PROGRAM MANAGER,WW10RI130HOS020,MJ07RFKR,,PBMC.ORG,Desktop,Personal,Office,0,PBMCh - 1,DELL,P190S,19,LENOVO,E2054A,20,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,599923.0,W146,"Missing New Floor Plan, Missing Old Floor Plan, Duplicate based on Designator and Department"
"Missing New Floor Plan, Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan",188,667319,Workstation,tkhan19,446238,Peconic Bay Medical Center,298431,NRSG - 2 South,,,,PBMCh - 2,,W117,MAIN DESK,NURSE MANAGER OFFICE,WW10RI130NUR012,MJ0A9B4M,,PBMC.ORG,Desktop,Personal,Office,0,,LENOVO,E2054A,20,,,0,,,0,,,0,,10.55.2.76,,,,,,,HP/LASERJET MR02DN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,667319.0,W117,"Missing New Floor Plan, Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan"
"Missing New Floor Plan, Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan",189,668462,Printer,tkhan19,446238,Peconic Bay Medical Center,563387,Laboratory,,,,PBMCh - 2,,S10,RIGHT CORNER OF ROOM,PATHOLOGY LABORATORY,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Specimen Labels,pbmc-apc03,,10.55.17.83,ZEBRA,ZT230,LABEL,,,,,,PBMCh - 2,,,,,,,,,0,,,,0,,668462.0,S10,"Missing New Floor Plan, Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan"
"Missing New Floor Plan, Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan",190,668464,Printer,tkhan19,446238,Peconic Bay Medical Center,563387,Laboratory,,,,PBMCh - 2,,S11,RIGHT CORNER OF ROOM,PATHOLOGY LAB,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Specimen Labels,PBMC-APC01,,10.55.17.11,ZEBRA,ZT411,LABEL,LABEL,,,,,PBMCh - 2,,,,,,,,,0,,,,0,,668464.0,S11,"Missing New Floor Plan, Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan"
"Missing New Floor Plan, Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan",191,668470,Printer,rborrelli,446238,Peconic Bay Medical Center,563387,Laboratory,,,,PBMCh - 2,,S12,CENTER DESK OPPOSITE OF DOOR,PATHOLOGY LAB,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Specimen Labels,PBMC-APC02,,10.55.17.12,ZEBRA,ZT411,SPECIMEN,,,,1.0,,PBMCh - 2,,,,,,,,,0,,,,0,,668470.0,S12,"Missing New Floor Plan, Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan"
"Missing New Floor Plan, Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan",192,669682,Workstation,ggray,446238,Peconic Bay Medical Center,298418,Human Resources,,,,PBMCh - 3,,L39,FIRST OFFICE ON THE RIGHT,HR ROOM,LW10RI004HUR004,PF24G7C2,L048112,PBMC.ORG,Laptop,Personal,Office,0,12/7 PBMCh - 3,LENOVO,T14,14,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,669682.0,L39,"Missing New Floor Plan, Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan"
"Missing New Floor Plan, Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan",193,669713,Workstation,ggray,446238,Peconic Bay Medical Center,298418,Human Resources,,,,PMBCh - 3,,L39,HYBRID LAPTOP WITH STATION TO THE RIGHT IN OFFICE,TP03412,LRI130SOC001,PF0SYNX4,,PBMC.ORG,Laptop,Personal,Office,0,HYBRID LAPTOP,THINKPAD,E570,16,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,669713.0,L39,"Missing New Floor Plan, Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",194,598556,Printer,roneill6,446238,Peconic Bay Medical Center,585925,Surgery - General,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_FL_3_Corridor.pdf?csf=1&web=1&e=wWIdip,PBMC_FL_3_Corridor,NOT FOUND,ONLY PRINTER IN ROOM,TP03702,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Plain Paper Printouts,,,10.55.14.92,HP,LASERJET MFP M227FDW,PLAIN,PLAIN,,,,,,,,,,,,,,0,,,,0,,598556.0,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",195,598557,Printer,roneill6,446238,Peconic Bay Medical Center,298416,Hospital Administration,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_FL_3_Corridor.pdf?csf=1&web=1&e=wWIdip,PBMC_FL_3_Corridor,NOT FOUND,ONLY PRINTER IN ROOM,TP03707,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Plain Paper Printouts,,,10.55.14.135,HP,LASERJET PRO M454DN,PLAIN,PLAIN,,,,,,,,,,,,,,0,,,,0,,598556.0,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",196,598558,Workstation,pa_mgrass,446238,Peconic Bay Medical Center,585925,Surgery - General,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_FL_3_Corridor.pdf?csf=1&web=1&e=wWIdip,PBMC_FL_3_Corridor,NOT FOUND,BOTTOM MONITOR,TP03709,WW10RI130MAT021,MJ05UHE9,,PBMC.ORG,Desktop,Personal,Office,0,,LENOVO,T2224DA,24,,,0,,,0,,,0,,10.123.10.25 - RH031-CAR03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,598556.0,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",197,598559,Workstation,pa_mgrass,446238,Peconic Bay Medical Center,585925,Surgery - General,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_FL_3_Corridor.pdf?csf=1&web=1&e=wWIdip,PBMC_FL_3_Corridor,NOT FOUND,TOP MONITOR,TP03709,WW10RI130MAT005,MJ07SMFL,,PBMC.ORG,Desktop,Personal,Office,0,,LG,M910Z,24,,,0,,,0,,,0,,10.123.10.25 - RH031-CAR03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,598556.0,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",198,598596,Printer,roneill6,446238,Peconic Bay Medical Center,430561,Peconic Cardio,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_3_dept_Cardiology.pdf?csf=1&web=1&e=JGIxRG,PBMC_fl_3_dept_Cardiology,NOT FOUND,ONLY PRINTER IN ROOM,N325A,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Plain Paper Printouts,,,10.55.22.123,HP,LASERJET PRO M452DN,PLAIN,PLAIN,,,,,IP PRINTER,,,,,,,,,0,,,,0,,598596.0,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan",199,598606,Workstation,roneill6,446238,Peconic Bay Medical Center,430561,Peconic Cardio,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_3_dept_Cardiology.pdf?csf=1&web=1&e=JGIxRG,PBMC_fl_3_dept_Cardiology,W21,"PC ON LEFT OF DESK, CLOSER TO PRINTERS",TP03037 CATH LAB FRONT DESK IN WAITING ROOM,WW10RI1303NO003,MJ09EJ1T,D073734,PBMC.ORG,Desktop,Personal,Reg Front Desk,0,PBMCh - 3,LENOVO,TIO22GEN4,22,,,0,,,0,,,0,,,,,,,,,HP LASERJET PRO M608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,598606.0,W21,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan",200,599190,Workstation,jherrera10,446238,Peconic Bay Medical Center,430561,Peconic Cardio,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_3_dept_Cardiology.pdf?csf=1&web=1&e=JGIxRG,PBMC_fl_3_dept_Cardiology,W21,1300 ROANOKE AVENUE/ N360 COMPUTER CLOSEST TO DOOR,N360 VIEWING AREA,WW10RI130CAR026,MJ0EQBTQ,D085917,PBMC.ORG,Desktop,Personal,Office,0,,BARCO,MDRC-2321,22,BARCO,MDRC-2321,22,,,0,,,0,,10.55.22.119/ M404-M405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,598606.0,W21,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan",201,599195,Workstation,pa_mgrass,446238,Peconic Bay Medical Center,298398,Case Management,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_FL_3_Corridor.pdf?csf=1&web=1&e=wWIdip,PBMC_FL_3_Corridor,L4,BACK LEFT SIDE BY WINDOW,TP03727,LW10RI130CSM050,PF1KUY49,L034134,PBMC.ORG,Laptop,Shared,Office,0,,LENOVO,TIO22GEN4,22,,,0,,,0,,,0,,10.55.14.47 - RICOH IM 350,,,,,,,,,,,,,,,,PBMCh - 3,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,599195.0,L4,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",202,599204,Printer,iouedraoga,446238,Peconic Bay Medical Center,430561,Peconic Cardio,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_3_dept_Cardiology.pdf?csf=1&web=1&e=JGIxRG,PBMC_fl_3_dept_Cardiology,NOT FOUND,INTERVENTIONAL CARDIOLOGY,343,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Plain Paper Printouts,HP M283 COLOR LASERJET,,10.55.22.205,HP,COLOR LASERJET PRO MFP M283 FDW,PLAIN,,,,,,,,,,,,,,,0,,,,0,,598596.0,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",203,599212,Printer,pa_jmorgan23,446238,Peconic Bay Medical Center,298425,Medical Records,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_FL_3_Corridor.pdf?csf=1&web=1&e=wWIdip,PBMC_FL_3_Corridor,NOT FOUND,SOLE PRINTER LOCATRED IN 2 PERSON OFFICE,3733A,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Plain Paper Printouts,WPIF8134C,,10.56.14.146,HP LASER JETS,M28FDN,,,,,,,,,,,,,,,,0,,,,0,,598556.0,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info",204,599227,Printer,pa_mgrass,446238,Peconic Bay Medical Center,298401,CT - Pharmacy,,,,https://northwell.sharepoint.com/:b:/r/sites/EpicTransformation/Epic%20Build%20Team/Integrated%20Areas/End%20User%20Devices%20(EUD)/Inventory/Wave%201%20EUD/PBMC/Floor%20Plans/Peconic%20Bay%20Hospital/PBMC_fl_2_sec_2.4.pdf?csf=1&web=1&e=pie8RH,PBMC_fl_2_sec_2.4,NOT FOUND,BACK LEFT SIDE OF OFFICE,TP02134,,,,,,,,0,,,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,Scripts,,,10.055.019.057,ZEBRA,ZT410,PRESCRIPTION STICKER,,,,1.0,,,,,,,,,,,0,,,,0,,599227.0,NOT FOUND,"Duplicate based on Designator and Department, Duplicate based on Designator and Old Floor Plan, Duplicate based on Designator and New Floor Plan, Incorrect Designator Info"
